address,min_ms,max_ms,avg_ms,latitudes,longitudes,distance_km
146.19.95.34,177.131149,179.156927,177.47664,-23.5475,-46.6361,8246.0748006654
23.82.193.66,55.053141,56.053048,55.277303,47.6109,-122.3303,2912.6530509113
23.81.166.99,52.181543,59.231493,52.456886,37.3388,-121.8916,3026.3851429865554
88.213.191.212,103.068063,103.603253,103.225668,47.6934,8.6473,7174.841508254874
165.21.70.1,213.369753,214.121496,213.532763,1.29229,103.808,15247.699716084835
23.106.244.70,185.805866,196.171832,186.270538,-33.8229,151.1886,14904.232682648064
202.123.3.108,336.507555,481.430036,339.346613,-20.166,57.5025,15964.895183673729
195.69.189.215,187.747282,188.807505,187.933918,41.3044,69.2346,10611.27139043523
23.105.9.80,24.429451,25.179243,24.666642,38.7493,-77.4719,830.8346393193832
62.176.224.217,92.558902,110.641402,102.463612,52.4041,10.7532,7019.047530846503
213.209.106.95,103.865777,104.92927,104.094632,53.5867,10.0473,6909.6119194612
198.60.22.18,36.805743,80.652524,39.637409,39.321,-111.094,2059.9699894857476
69.79.207.214,54.711889,63.674096,61.805584,18.0028,-76.7897,2678.0013043661443
64.112.186.242,23.687223,103.954558,44.374101,32.7908,-96.8336,1226.5027537079282
146.112.61.104,5.666179,6.977709,5.849321,37.4073,-121.939,3028.0967656643934
103.31.113.244,201.820189,231.35651,203.355798,-37.8232,145.1009,15584.237084334494
194.24.162.86,87.672687,113.516984,98.959862,50.7707,0.281895,6478.291635401081
201.225.207.3,69.332802,70.337042,69.549004,8.9948,-79.523,3573.293377368715
197.227.12.18,338.507031,338.995631,338.678491,-20.2494,57.4879,15969.93221852823
51.161.209.134,286.898838,289.861045,287.94466,-33.8401,151.209,14903.37750977223
148.187.129.10,102.582975,103.022594,102.777967,47.3823,8.5397,7186.909082815469
69.168.185.43,39.26006,39.793251,39.464124,51.053,-114.1361,2398.514939144482
